Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total,Red days,MainlandReddays,ExtremeWeather,Weekday
2023/2/6,Lo Wu,Arrival,26392,3865,62,30319,0,0,0,1
2023/2/7,Lo Wu,Arrival,28657,4175,122,32954,0,0,0,2
2023/2/8,Lo Wu,Arrival,29873,4991,158,35022,0,0,0,3
2023/2/9,Lo Wu,Arrival,29434,5165,165,34764,0,0,0,4
2023/2/10,Lo Wu,Arrival,31738,7300,197,39235,0,0,0,5
2023/2/11,Lo Wu,Arrival,35701,9099,240,45040,1,1,0,6
2023/2/12,Lo Wu,Arrival,64259,8373,149,72781,2,2,0,7
2023/2/13,Lo Wu,Arrival,38603,7942,168,46713,0,0,0,1
2023/2/14,Lo Wu,Arrival,35054,7060,169,42283,0,0,0,2
2023/2/15,Lo Wu,Arrival,36779,8236,198,45213,0,0,0,3
2023/2/16,Lo Wu,Arrival,36583,8664,202,45449,0,0,0,4
2023/2/17,Lo Wu,Arrival,38031,11213,265,49509,0,0,0,5
2023/2/18,Lo Wu,Arrival,42022,15191,317,57530,1,1,0,6
2023/2/19,Lo Wu,Arrival,67635,10851,221,78707,2,2,0,7
2023/2/20,Lo Wu,Arrival,41962,9326,219,51507,0,0,0,1
2023/2/21,Lo Wu,Arrival,37911,9846,226,47983,0,0,0,2
2023/2/22,Lo Wu,Arrival,38129,10367,230,48726,0,0,0,3
2023/2/23,Lo Wu,Arrival,37840,9934,251,48025,0,0,0,4
2023/2/24,Lo Wu,Arrival,41018,12453,297,53768,0,0,0,5
2023/2/25,Lo Wu,Arrival,45166,17253,299,62718,1,1,0,6
2023/2/26,Lo Wu,Arrival,69027,11902,283,81212,2,2,0,7
2023/2/27,Lo Wu,Arrival,44841,10484,275,55600,0,0,0,1
2023/2/28,Lo Wu,Arrival,40938,11089,295,52322,0,0,0,2
2023/3/1,Lo Wu,Arrival,39691,12129,318,52138,0,0,0,3
2023/3/2,Lo Wu,Arrival,41220,12323,300,53843,0,0,0,4
2023/3/3,Lo Wu,Arrival,43718,13939,331,57988,0,0,0,5
2023/3/4,Lo Wu,Arrival,45797,19202,432,65431,1,1,0,6
2023/3/5,Lo Wu,Arrival,71532,13104,238,84874,2,2,0,7
2023/3/6,Lo Wu,Arrival,45026,10333,204,55563,0,0,0,1
2023/3/7,Lo Wu,Arrival,41658,10133,306,52097,0,0,0,2
2023/3/8,Lo Wu,Arrival,41606,10676,329,52611,0,0,0,3
2023/3/9,Lo Wu,Arrival,42209,11963,351,54523,0,0,0,4
2023/3/10,Lo Wu,Arrival,44096,14166,383,58645,0,0,0,5
2023/3/11,Lo Wu,Arrival,46996,19099,403,66498,1,1,0,6
2023/3/12,Lo Wu,Arrival,76656,11803,260,88719,2,2,0,7
2023/3/13,Lo Wu,Arrival,45501,10600,241,56342,0,0,0,1
2023/3/14,Lo Wu,Arrival,42155,10768,263,53186,0,0,0,2
2023/3/15,Lo Wu,Arrival,40263,10163,230,50656,0,0,0,3
2023/3/16,Lo Wu,Arrival,42358,12096,337,54791,0,0,0,4
2023/3/17,Lo Wu,Arrival,44771,14379,370,59520,0,0,0,5
2023/3/18,Lo Wu,Arrival,48548,20241,447,69236,1,1,0,6
2023/3/19,Lo Wu,Arrival,72595,13911,279,86785,2,2,0,7
2023/3/20,Lo Wu,Arrival,44928,10134,256,55318,0,0,0,1
2023/3/21,Lo Wu,Arrival,41518,11591,358,53467,0,0,0,2
2023/3/22,Lo Wu,Arrival,40647,11335,348,52330,0,0,0,3
2023/3/23,Lo Wu,Arrival,40797,11683,350,52830,0,0,0,4
2023/3/24,Lo Wu,Arrival,43351,14531,410,58292,0,0,0,5
2023/3/25,Lo Wu,Arrival,44854,17455,468,62777,1,1,0,6
2023/3/26,Lo Wu,Arrival,65990,11061,264,77315,2,2,0,7
2023/3/27,Lo Wu,Arrival,43615,9096,280,52991,0,0,0,1
2023/3/28,Lo Wu,Arrival,41424,11348,369,53141,0,0,0,2
2023/3/29,Lo Wu,Arrival,41124,11381,351,52856,0,0,0,3
2023/3/30,Lo Wu,Arrival,41479,11030,423,52932,0,0,0,4
2023/3/31,Lo Wu,Arrival,42533,12248,407,55188,0,0,0,5
2023/4/1,Lo Wu,Arrival,44644,16741,437,61822,1,1,0,6
2023/4/2,Lo Wu,Arrival,60267,10617,310,71194,2,2,0,7
2023/4/3,Lo Wu,Arrival,40810,8009,278,49097,0,0,0,1
2023/4/4,Lo Wu,Arrival,35568,7839,347,43754,0,0,0,2
2023/4/5,Lo Wu,Arrival,50975,8727,307,60009,1,1,0,3
2023/4/6,Lo Wu,Arrival,46510,7981,322,54813,0,0,0,4
2023/4/7,Lo Wu,Arrival,56725,10211,360,67296,1,0,0,5
2023/4/8,Lo Wu,Arrival,65735,15265,440,81440,2,1,0,6
2023/4/9,Lo Wu,Arrival,99560,11902,362,111824,3,2,0,7
2023/4/10,Lo Wu,Arrival,110619,10520,451,121590,4,0,0,1
2023/4/11,Lo Wu,Arrival,56998,12351,445,69794,0,0,0,2
2023/4/12,Lo Wu,Arrival,48560,12119,466,61145,0,0,0,3
2023/4/13,Lo Wu,Arrival,46472,12468,415,59355,0,0,0,4
2023/4/14,Lo Wu,Arrival,47000,13903,584,61487,0,0,0,5
2023/4/15,Lo Wu,Arrival,49735,20848,552,71135,1,1,0,6
2023/4/16,Lo Wu,Arrival,70697,15256,426,86379,2,2,0,7
2023/4/17,Lo Wu,Arrival,45751,11329,439,57519,0,0,0,1
2023/4/18,Lo Wu,Arrival,42631,13026,562,56219,0,0,0,2
2023/4/19,Lo Wu,Arrival,38985,11169,572,50726,0,0,0,3
2023/4/20,Lo Wu,Arrival,39727,11368,572,51667,0,0,0,4
2023/4/21,Lo Wu,Arrival,41163,12922,601,54686,0,0,0,5
2023/4/22,Lo Wu,Arrival,47015,16338,590,63943,1,1,0,6
2023/4/23,Lo Wu,Arrival,67183,13031,419,80633,2,0,0,7
2023/4/24,Lo Wu,Arrival,44836,10533,345,55714,0,0,0,1
2023/4/25,Lo Wu,Arrival,41810,11656,476,53942,0,0,0,2
2023/4/26,Lo Wu,Arrival,42749,13045,452,56246,0,0,0,3
2023/4/27,Lo Wu,Arrival,43936,12511,482,56929,0,0,0,4
2023/4/28,Lo Wu,Arrival,45754,16426,636,62816,0,0,0,5
2023/4/29,Lo Wu,Arrival,43576,26854,683,71113,0,1,0,6
2023/4/30,Lo Wu,Arrival,58583,26579,651,85813,0,2,0,7
2023/5/1,Lo Wu,Arrival,75276,20459,534,96269,1,3,0,1
2023/5/2,Lo Wu,Arrival,37715,17018,371,55104,0,4,0,2
2023/5/3,Lo Wu,Arrival,33924,9712,308,43944,0,5,0,3
2023/5/4,Lo Wu,Arrival,38725,9745,366,48836,0,0,0,4
2023/5/5,Lo Wu,Arrival,40765,11654,367,52786,0,0,0,5
2023/5/6,Lo Wu,Arrival,45069,12099,301,57469,1,0,0,6
2023/5/7,Lo Wu,Arrival,59317,11195,315,70827,2,1,0,7
2023/5/8,Lo Wu,Arrival,43257,9541,333,53131,0,0,0,1
2023/5/9,Lo Wu,Arrival,43159,10183,333,53675,0,0,0,2
2023/5/10,Lo Wu,Arrival,43808,12304,366,56478,0,0,0,3
2023/5/11,Lo Wu,Arrival,42587,12347,436,55370,0,0,0,4
2023/5/12,Lo Wu,Arrival,43706,11666,439,55811,0,0,0,5
2023/5/13,Lo Wu,Arrival,54714,21152,501,76367,1,1,0,6
2023/5/14,Lo Wu,Arrival,78319,11817,324,90460,2,2,0,7
2023/5/15,Lo Wu,Arrival,44873,10243,361,55477,0,0,0,1
2023/5/16,Lo Wu,Arrival,43548,11027,379,54954,0,0,0,2
2023/5/17,Lo Wu,Arrival,41267,10319,349,51935,0,0,0,3
2023/5/18,Lo Wu,Arrival,42342,10456,400,53198,0,0,0,4
2023/5/19,Lo Wu,Arrival,42976,11684,412,55072,0,0,0,5
2023/5/20,Lo Wu,Arrival,49189,17727,443,67359,1,1,0,6
2023/5/21,Lo Wu,Arrival,70586,12670,357,83613,2,2,0,7
2023/5/22,Lo Wu,Arrival,45171,10209,355,55735,0,0,0,1
2023/5/23,Lo Wu,Arrival,39304,9436,348,49088,0,0,0,2
2023/5/24,Lo Wu,Arrival,39551,9934,368,49853,0,0,0,3
2023/5/25,Lo Wu,Arrival,41660,10390,360,52410,0,0,0,4
2023/5/26,Lo Wu,Arrival,78417,10756,460,89633,1,0,0,5
2023/5/27,Lo Wu,Arrival,55710,15235,532,71477,2,1,0,6
2023/5/28,Lo Wu,Arrival,87649,12222,452,100323,3,2,0,7
