Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total,Red days,MainlandReddays,ExtremeWeather,Weekday
2023/2/6,Lo Wu,Departure,29686,3828,142,33656,0,0,0,1
2023/2/7,Lo Wu,Departure,28787,3838,210,32835,0,0,0,2
2023/2/8,Lo Wu,Departure,29914,4546,238,34698,0,0,0,3
2023/2/9,Lo Wu,Departure,31759,5188,229,37176,0,0,0,4
2023/2/10,Lo Wu,Departure,43034,6967,251,50252,0,0,0,5
2023/2/11,Lo Wu,Departure,54035,10444,327,64806,1,1,0,6
2023/2/12,Lo Wu,Departure,35650,11054,296,47000,2,2,0,7
2023/2/13,Lo Wu,Departure,36034,8509,200,44743,0,0,0,1
2023/2/14,Lo Wu,Departure,34842,8975,246,44063,0,0,0,2
2023/2/15,Lo Wu,Departure,35430,9462,283,45175,0,0,0,3
2023/2/16,Lo Wu,Departure,37562,10355,281,48198,0,0,0,4
2023/2/17,Lo Wu,Departure,49102,12860,335,62297,0,0,0,5
2023/2/18,Lo Wu,Departure,61487,18910,407,80804,1,1,0,6
2023/2/19,Lo Wu,Departure,40110,17485,345,57940,2,2,0,7
2023/2/20,Lo Wu,Departure,38115,10694,249,49058,0,0,0,1
2023/2/21,Lo Wu,Departure,37764,11262,298,49324,0,0,0,2
2023/2/22,Lo Wu,Departure,37638,12218,286,50142,0,0,0,3
2023/2/23,Lo Wu,Departure,39129,11887,309,51325,0,0,0,4
2023/2/24,Lo Wu,Departure,51136,14081,336,65553,0,0,0,5
2023/2/25,Lo Wu,Departure,64334,21049,410,85793,1,1,0,6
2023/2/26,Lo Wu,Departure,42523,18535,410,61468,2,2,0,7
2023/2/27,Lo Wu,Departure,39561,11557,265,51383,0,0,0,1
2023/2/28,Lo Wu,Departure,40162,12905,282,53349,0,0,0,2
2023/3/1,Lo Wu,Departure,41158,13693,328,55179,0,0,0,3
2023/3/2,Lo Wu,Departure,42227,15510,370,58107,0,0,0,4
2023/3/3,Lo Wu,Departure,54237,16874,393,71504,0,0,0,5
2023/3/4,Lo Wu,Departure,67206,25285,492,92983,1,1,0,6
2023/3/5,Lo Wu,Departure,44239,20832,476,65547,2,2,0,7
2023/3/6,Lo Wu,Departure,40669,11790,262,52721,0,0,0,1
2023/3/7,Lo Wu,Departure,41969,12354,395,54718,0,0,0,2
2023/3/8,Lo Wu,Departure,42131,13218,413,55762,0,0,0,3
2023/3/9,Lo Wu,Departure,42665,14430,411,57506,0,0,0,4
2023/3/10,Lo Wu,Departure,55312,16261,399,71972,0,0,0,5
2023/3/11,Lo Wu,Departure,69230,24517,437,94184,1,1,0,6
2023/3/12,Lo Wu,Departure,46134,19179,422,65735,2,2,0,7
2023/3/13,Lo Wu,Departure,40850,10567,260,51677,0,0,0,1
2023/3/14,Lo Wu,Departure,41634,12804,334,54772,0,0,0,2
2023/3/15,Lo Wu,Departure,39878,12481,347,52706,0,0,0,3
2023/3/16,Lo Wu,Departure,43834,15033,400,59267,0,0,0,4
2023/3/17,Lo Wu,Departure,55358,16550,408,72316,0,0,0,5
2023/3/18,Lo Wu,Departure,67362,25646,483,93491,1,1,0,6
2023/3/19,Lo Wu,Departure,44483,22770,448,67701,2,2,0,7
2023/3/20,Lo Wu,Departure,41162,11967,309,53438,0,0,0,1
2023/3/21,Lo Wu,Departure,41224,13794,384,55402,0,0,0,2
2023/3/22,Lo Wu,Departure,39849,13627,418,53894,0,0,0,3
2023/3/23,Lo Wu,Departure,42424,14424,470,57318,0,0,0,4
2023/3/24,Lo Wu,Departure,53780,17258,428,71466,0,0,0,5
2023/3/25,Lo Wu,Departure,65048,23513,505,89066,1,1,0,6
2023/3/26,Lo Wu,Departure,41001,18631,394,60026,2,2,0,7
2023/3/27,Lo Wu,Departure,39096,10644,341,50081,0,0,0,1
2023/3/28,Lo Wu,Departure,41302,13343,412,55057,0,0,0,2
2023/3/29,Lo Wu,Departure,42206,14055,424,56685,0,0,0,3
2023/3/30,Lo Wu,Departure,44510,13658,443,58611,0,0,0,4
2023/3/31,Lo Wu,Departure,61148,16252,549,77949,0,0,0,5
2023/4/1,Lo Wu,Departure,77681,21782,509,99972,1,1,0,6
2023/4/2,Lo Wu,Departure,50187,16730,452,67369,2,2,0,7
2023/4/3,Lo Wu,Departure,53312,10004,416,63732,0,0,0,1
2023/4/4,Lo Wu,Departure,85367,10726,474,96567,0,0,0,2
2023/4/5,Lo Wu,Departure,58858,12189,425,71472,1,1,0,3
2023/4/6,Lo Wu,Departure,61490,9489,496,71475,0,0,0,4
2023/4/7,Lo Wu,Departure,91412,11320,541,103273,1,0,0,5
2023/4/8,Lo Wu,Departure,61187,17883,384,79454,2,1,0,6
2023/4/9,Lo Wu,Departure,50735,16118,381,67234,3,2,0,7
2023/4/10,Lo Wu,Departure,37556,8065,290,45911,4,0,0,1
2023/4/11,Lo Wu,Departure,37455,12063,349,49867,0,0,0,2
2023/4/12,Lo Wu,Departure,38559,14314,516,53389,0,0,0,3
2023/4/13,Lo Wu,Departure,39908,14756,533,55197,0,0,0,4
2023/4/14,Lo Wu,Departure,46176,15591,734,62501,0,0,0,5
2023/4/15,Lo Wu,Departure,57351,27664,821,85836,1,1,0,6
2023/4/16,Lo Wu,Departure,43727,22442,620,66789,2,2,0,7
2023/4/17,Lo Wu,Departure,42347,12404,518,55269,0,0,0,1
2023/4/18,Lo Wu,Departure,41329,15052,562,56943,0,0,0,2
2023/4/19,Lo Wu,Departure,38106,13687,573,52366,0,0,0,3
2023/4/20,Lo Wu,Departure,39814,13796,554,54164,0,0,0,4
2023/4/21,Lo Wu,Departure,49508,15743,571,65822,0,0,0,5
2023/4/22,Lo Wu,Departure,63547,22886,640,87073,1,1,0,6
2023/4/23,Lo Wu,Departure,45292,16661,483,62436,2,0,0,7
